进车顺序,车型,动力,驱动
223,A,混动,两驱
224,A,混动,两驱
225,A,混动,两驱
226,A,燃油,四驱
227,B,燃油,两驱
228,A,燃油,四驱
229,A,混动,两驱
230,A,混动,两驱
231,A,燃油,四驱
232,A,混动,两驱
233,B,燃油,两驱
234,B,燃油,两驱
235,B,燃油,两驱
236,B,燃油,两驱
237,B,燃油,两驱
238,B,燃油,两驱
239,A,混动,两驱
240,B,燃油,两驱
241,A,混动,两驱
242,A,混动,两驱
243,B,燃油,两驱
244,A,混动,两驱
245,B,燃油,两驱
246,A,混动,两驱
247,A,混动,两驱
248,A,混动,两驱
249,A,混动,两驱
250,A,混动,两驱
251,A,混动,两驱
252,A,混动,两驱
253,B,燃油,四驱
254,B,燃油,四驱
255,A,混动,两驱
256,A,混动,两驱
257,A,混动,两驱
258,A,混动,两驱
259,A,混动,两驱
260,A,混动,两驱
261,A,混动,两驱
262,A,混动,两驱
263,B,燃油,四驱
264,B,燃油,四驱
265,B,燃油,四驱
266,B,燃油,四驱
267,A,混动,两驱
268,B,燃油,四驱
269,A,混动,两驱
270,B,燃油,四驱
271,A,混动,两驱
272,B,燃油,四驱
273,A,混动,两驱
274,A,混动,两驱
275,A,混动,两驱
276,A,混动,两驱
277,A,混动,两驱
278,A,混动,两驱
279,A,混动,两驱
280,A,混动,两驱
281,A,混动,两驱
282,A,混动,两驱
283,B,燃油,四驱
284,B,燃油,四驱
285,B,燃油,四驱
286,A,混动,两驱
287,A,混动,两驱
288,B,燃油,四驱
289,A,混动,两驱
290,A,混动,两驱
291,A,燃油,两驱
292,A,混动,两驱
293,A,燃油,两驱
294,A,混动,两驱
295,A,燃油,两驱
296,A,混动,两驱
297,A,燃油,两驱
298,A,混动,两驱
299,A,混动,两驱
300,A,混动,两驱
301,A,混动,两驱
302,A,混动,两驱
303,A,混动,两驱
304,A,混动,两驱
305,A,混动,两驱
306,A,混动,两驱
307,A,燃油,两驱
308,A,燃油,两驱
309,A,混动,两驱
310,A,混动,两驱
311,A,混动,两驱
312,B,燃油,四驱
313,A,混动,两驱
314,A,混动,两驱
315,A,混动,两驱
316,A,混动,两驱
317,A,混动,两驱
318,A,混动,两驱
